"08121: Balance sheet for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Retained earnings (NOK million),80798,2374397,524609,297260,114968,5839,133413,251126,110572,16888,145125,..,526755,52245,37122,2606,24334,2577,4819,43343
,Liabilities (NOK million),157053,6937893,1594088,692441,445667,23598,507281,546810,632673,65163,368860,..,1279340,231293,213572,8046,59857,25916,12465,73770
,Provisions (NOK million),10701,638436,458044,29567,24125,961,10777,11112,35463,1910,11022,..,34925,2771,4629,90,1336,508,177,319
,Other long-term liabilities (NOK million),83883,3307987,552925,242502,256498,11852,226833,139025,369356,34557,130613,..,941055,97677,115720,3443,33029,10836,5581,52603
,Liabilities to financial institutions (NOK million),51873,1295067,33604,59407,77045,7621,134871,47469,197065,15644,18382,..,521950,34944,43829,1871,16512,6158,4238,22584
,Long-term liabilities to group companies (NOK million),12294,1122251,271146,117473,87809,2485,56500,51683,87571,10040,58086,..,266291,37374,35931,939,6734,2286,708,16900
,Short-term liabilities (NOK million),62469,2991470,583118,420371,165045,10786,269671,396673,227854,28696,227225,..,303360,130846,93222,4514,25492,14573,6707,20848
,Trade creditors (NOK million),9896,463223,53631,81020,15057,2629,58925,129612,32780,5302,20611,..,14172,22819,11119,594,2078,1471,852,655
,Short-term liabilities to group companies (NOK million),21074,1006725,239731,153636,39092,2507,55247,97389,78222,8579,78320,..,137590,32374,39079,875,9551,2388,1600,9473
,Total equity and liabilities (NOK million),305040,13139643,2657934,1429620,865755,38924,796446,1025356,1099744,112268,860453,..,2634968,502055,378876,14387,103075,43127,25293,246320
,Number of enterprises,4765,282853,1282,13079,1526,815,43599,43502,9796,9785,14786,..,57911,36853,12830,4015,9555,4962,4783,9009
2019,Fixed assets (NOK million),212214,10409306,2311801,1009041,807731,26250,443914,505737,813901,71564,733205,..,2312489,335619,335967,8944,69362,29347,16168,366053
