"08120: Profit/loss statement for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Ekstraordinary items (NOK million),1,-2992,0,-11,0,0,14,-12,-2895,10,-20,..,21,-85,-9,-1,0,-5,-1,1
,Tax (NOK million),3329,287709,205015,11129,12103,322,6629,12117,6755,676,6506,..,10657,7605,2961,178,1132,288,270,34
,Net profit (NOK million),14220,452087,131877,44094,17731,1044,22534,44865,19007,1313,49368,..,66808,20553,7064,567,3705,4476,977,1883
,Proposed dividends (NOK million),3269,186299,43691,33408,7325,424,10108,19763,11789,1001,20139,..,20143,8890,3094,300,1414,314,653,573
,Number of enterprises,3161,221947,1109,11412,1347,652,30956,37778,8424,6992,9891,..,55795,26447,9569,2433,6881,3199,3227,2674
2014,Operating income (NOK million),70946,5088215,1089893,728707,102622,22793,418908,1339361,380103,65801,227408,..,133158,220051,166371,9861,52818,43270,13982,2163
,Revenue (NOK million),67442,4737164,1010470,722684,95327,21944,399264,1343511,310551,62178,216910,..,33241,204912,150551,8442,34162,41307,12994,1274
,Operating expences (NOK million),56721,4599552,887110,692439,78610,21450,393638,1301759,343081,64379,211878,..,83851,198602,155150,9227,47931,38688,12961,2077
,Raw materials and consumables used (NOK million),25263,2327439,463355,376363,40865,8561,137963,1007001,76881,15288,60306,..,12035,44331,48356,754,4105,3348,2373,290
,Payroll expence (NOK million),10471,844812,76711,140283,9576,4673,100754,139191,79378,24836,69220,..,13962,78575,53966,4340,27457,4929,6161,327
,Depreciation and write down of tangible and intangible fixed assets (NOK million),4152,283266,147322,18443,9002,1381,7398,12488,23533,1946,15861,..,18249,9726,9558,397,1639,1235,618,318
,Operating profit (NOK million),14225,488663,202783,36268,24011,1343,25270,37602,37021,1421,15529,..,49308,21449,11221,634,4888,4582,1022,86
,"Income from subsidiaries, other group entities and from associates (NOK million)",1002,151939,26430,44093,11418,246,4753,12988,13557,410,10886,..,20719,2849,1099,122,386,144,114,722
,Interest income (NOK million),1636,75015,7086,10676,3814,651,3239,5257,6259,694,17347,..,11773,2950,2558,79,315,160,141,378
,Interest expence (NOK million),3391,144493,21484,18781,10027,1258,7529,10080,18094,1199,6037,..,34127,5165,4963,184,890,381,352,550
,Write-down of financial assets (NOK million),457,239314,155678,11170,692,298,1493,4489,10088,648,36855,..,6580,3770,6276,33,140,130,334,183
,"Financial items, net (NOK million)",3716,-39174,-175353,43507,10826,-278,7901,19949,-9781,1889,8279,..,40810,8366,-1190,309,800,-384,-805,2267
,Profit before tax (NOK million),17941,449489,27430,79775,34838,1065,33171,57551,27240,3310,23808,..,90118,29815,10031,943,5687,4197,217,2353
,Ekstraordinary items (NOK million),1,-856,0,-68,0,0,-44,-9,-808,2,-2,..,50,-25,44,3,0,1,0,0
,Tax (NOK million),4641,248832,158229,13219,10508,324,6927,12483,10232,666,6305,..,11649,7613,3243,315,1272,226,259,719
,Net profit (NOK million),13300,195969,-130914,65220,24256,758,26142,44967,14874,2611,17016,..,78489,21889,6769,630,4398,3972,-42,1634
,Proposed dividends (NOK million),3208,213292,29881,40776,14516,457,11573,28231,10818,893,29693,..,23514,9393,7283,198,1454,305,530,569
,Number of enterprises,3331,232201,1152,11554,1389,673,33266,38633,8697,7519,10645,..,57178,28341,10124,2695,7319,3359,3532,2794
2015,Operating income (NOK million),75398,5008095,902930,749040,98532,23999,446480,1353580,402386,69476,230711,..,141507,217437,163383,11460,58650,47026,14459,1640
,Revenue (NOK million),72425,4646598,830094,749082,92276,23315,423803,1349859,333200,66182,217134,..,35769,196744,149446,9569,38461,44802,13374,1064
,Operating expences (NOK million),61647,4639954,809713,716171,79244,22615,419148,1314180,372659,68064,213279,..,88752,199891,154063,11040,53315,41737,13361,1077
,Raw materials and consumables used (NOK million),27407,2310661,395309,388551,37725,8228,157054,1009526,89520,16317,64096,..,13071,44722,47830,908,4368,3306,2432,290
,Payroll expence (NOK million),11837,870294,76796,139256,11435,4999,106723,143102,82757,26291,69933,..,15196,81712,52621,5327,30564,5224,6390,130
,Depreciation and write down of tangible and intangible fixed assets (NOK million),4740,344324,190741,20292,9726,1444,7952,14789,35517,2150,12964,..,19113,10346,10134,513,1788,1299,604,213
,Operating profit (NOK million),13751,368140,93218,32869,19288,1385,27332,39400,29727,1412,17432,..,52755,17546,9321,420,5334,5289,1098,564
,"Income from subsidiaries, other group entities and from associates (NOK million)",1236,66804,-62680,53258,14444,187,7087,13040,8485,937,3194,..,20614,2833,2662,161,580,251,140,374
,Interest income (NOK million),1443,64050,8758,8345,3368,394,2822,4707,6252,542,9535,..,10788,2631,3705,74,298,139,93,154
,Interest expence (NOK million),3087,142395,26308,16197,8827,1013,7471,9717,17315,1190,6802,..,31466,4938,6206,142,861,356,230,269
,Write-down of financial assets (NOK million),380,127157,20623,22845,1753,1538,2403,7361,18606,253,27323,..,8418,9090,5696,81,100,103,94,490
,"Financial items, net (NOK million)",3727,26154,-121877,46974,6978,-1162,15488,19748,-15709,973,-2797,..,61420,10081,-2272,264,2622,514,503,678
,Profit before tax (NOK million),17479,394294,-28659,79844,26266,222,42819,59148,14017,2385,14636,..,114175,27627,7049,684,7957,5803,1600,1242
,Ekstraordinary items (NOK million),7,-4465,-124,-29,-1,0,-8,4,-3140,0,4,..,11,-1173,11,3,-31,0,0,1
,Tax (NOK million),3809,141859,56871,14101,9544,384,7456,13275,8924,545,5340,..,11496,5111,2631,207,1402,313,284,167
,Net profit (NOK million),13684,250739,-85604,65651,17352,-152,35626,45802,2892,1834,10290,..,102735,21289,4441,479,6538,5490,1317,1076
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
