years,Industries,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Financial items, net ",Net profit ,Fixed assets,Current assets,Cash and bank deposits etc,Total assets,Equity,Liabilities,Short-term liabilities,Number of enterprises
2017,Accommodation and food service activities,74082,76454,18371,28640,2653,1413,2246,3045,63653,29095,8730,92748,33706,59042,27031,9151
2017,Information and communication,231299,224837,68020,72994,14823,19727,113180,124380,637454,201822,42299,839276,411768,427508,256304,13960
2017,Real estate activities,46117,106257,16884,16569,22656,58608,95653,140778,2043914,464284,128939,2508198,1281742,1226456,292605,66432
2017,"Professional, scientific and technical activities",192041,195849,41330,81015,8743,5829,9116,10404,284161,176551,55523,460712,250595,210118,117318,34970
2017,Administrative and support service activities,154628,160872,48085,57017,11711,9102,6979,13537,249869,92231,23133,342100,141982,200118,77463,12282
2017,Education,10509,12123,1005,5952,518,607,179,586,8171,5504,2739,13675,5737,7938,4059,3768
2017,Human health and social work activities,43192,59169,4518,34098,2038,5269,2155,6064,61184,33840,13104,95023,39138,55885,22355,9064
2017,"Arts, entertainment and recreation",53033,49109,3879,6055,1377,6425,591,6636,22762,15272,9347,38034,13704,24330,14397,4536
2017,Other service activities,14614,14819,2697,7185,660,1424,739,1872,14383,9049,3003,23432,12385,11048,5811,4516
2017,Unspecified,1152,1412,312,304,72,233,3237,3289,20412,13495,5886,33907,21897,12010,5378,4408
2018,"Agriculture, forestry and fishing",120320,97479,49339,16381,6820,27678,15283,35385,193417,111623,27771,305040,147987,157053,62469,4765
2018,Mining and quarrying,1166045,930205,612817,67932,107127,309043,24592,120735,2147987,509947,97501,2657934,1063847,1594088,583118,1282
2018,Manufacturing,760949,732775,421613,138289,20252,31152,67892,85939,957149,472472,81447,1429620,737180,692441,420371,13079
2018,"Electricity, gas and steam",149695,115848,68482,12154,9891,42025,37188,57361,706332,159423,45063,865755,420088,445667,165045,1526
2018,"Water supply, sewerage, waste",30560,30226,13902,5531,1804,1098,972,1782,26785,12140,3336,38924,15326,23598,10786,815
2018,Construction,538158,537690,197295,132210,9645,29185,19484,41045,397983,398463,74077,796446,289165,507281,269671,43599
