years,Industries,Operating income ,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Income from subsidiaries, other group entities and from associates ",Interest income ,Interest expence ,Write-down of financial assets ,"Financial items, net ",Profit before tax ,Tax ,Net profit ,Number of enterprises
2019,Accommodation and food service activities,88451,84078,87044,20238,33034,3183,1407,1869,689,1702,6564,-2818,-1412,778,-2181,9845
2019,Information and communication,268239,255850,252016,67475,83424,20021,16223,42774,3183,7790,12913,62697,78921,11181,69018,15216
2019,Real estate activities,177742,45751,114951,18449,18019,25235,62790,34248,12791,37534,7631,100317,163107,15509,148037,59253
2019,"Professional, scientific and technical activities",250016,238002,236310,48688,94790,12316,13707,6293,3489,5942,11223,7255,20962,4958,16022,37709
2019,Administrative and support service activities,203036,179096,186684,56464,66333,12915,16352,6694,2642,6394,4035,10576,26928,2539,24399,13033
2019,Education,14726,12239,14021,1336,6945,605,705,111,67,172,169,1143,1849,216,1635,4105
2019,Human health and social work activities,70491,48115,65330,4880,37956,2293,5161,561,637,1370,110,1511,6672,1239,5442,9892
2019,"Arts, entertainment and recreation",64191,61216,57012,4381,6786,1722,7179,1786,220,505,165,2163,9342,486,8855,5217
2019,Other service activities,16040,15516,15187,2342,7686,779,853,96,161,338,77,2306,3159,259,2903,4901
2019,Unspecified,4857,3479,5635,2150,474,214,-777,6574,1539,3534,3739,23580,22802,1461,21307,15494
2020,"Agriculture, forestry and fishing",135968,130359,116637,58595,19177,8968,19331,4831,1450,3934,1754,12197,31528,4276,27115,5271
2020,Mining and quarrying,911693,847753,852172,436447,79356,179102,59521,2158,12108,32068,17444,342,59863,36242,23504,1328
2020,Manufacturing,803055,797077,776899,449197,143563,33746,26156,51848,6529,11648,16623,60851,87007,9870,77385,13171
2020,"Electricity, gas and steam",111126,93782,87799,38725,12954,11477,23327,13548,3980,8954,3273,14776,38103,7182,30392,1717
2020,"Water supply, sewerage, waste",36189,35419,34545,16569,6281,1852,1643,214,188,439,41,413,2056,425,1631,886
2020,Construction,595785,575555,563671,201881,143120,10234,32114,9112,3771,8764,2832,28211,60325,8173,52127,45147
2020,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1712946,1706181,1638371,1290868,163223,18281,74575,19310,3590,7861,2677,49484,124058,16248,107852,43627
2020,Transportation and storage,385056,320933,370496,91860,75634,37878,14560,8794,4430,16587,30739,-29785,-15225,9438,-26020,9869
2020,Accommodation and food service activities,69258,61233,70272,15966,25191,3485,-1014,1149,528,1357,-924,2752,1738,138,1690,10407
2020,Information and communication,279947,265240,260886,75286,83020,24684,19061,35090,2741,7697,3283,43148,62209,7400,55046,16328
2020,Real estate activities,191607,57499,127634,25210,19318,27694,63972,36313,12371,37270,7580,94451,158424,14035,144457,66427
2020,"Professional, scientific and technical activities",244412,231956,232906,46542,96098,16537,11505,6467,3016,5771,10656,11478,22984,4031,18818,39641
2020,Administrative and support service activities,164152,146734,155745,33584,59172,14435,8407,2642,2415,6256,5943,3177,11583,2289,9283,13539
2020,Education,12994,10990,12132,1080,5874,583,862,198,52,160,49,1468,2330,266,2066,4245
2020,Human health and social work activities,69909,47195,63980,4356,36835,2582,5929,785,673,1474,790,4113,10042,1445,8598,10282
2020,"Arts, entertainment and recreation",61795,57773,54568,3182,5475,1719,7226,401,184,501,305,569,7795,318,7475,5442
2020,Other service activities,18550,15073,14886,2621,7131,775,3665,78,142,321,72,1,3666,228,3431,5203
2020,Unspecified,9430,5314,7607,3261,775,823,1823,5064,1971,4630,3040,21380,23203,478,22723,20609
2021,"Agriculture, forestry and fishing",152989,144867,129743,64738,21037,9714,23246,5429,1613,4086,185,25032,48278,5895,42706,5604
2021,Mining and quarrying,1402587,1341924,870165,526887,81142,125284,532422,0,10342,24880,385,28142,560565,377304,183600,1298
2021,Manufacturing,852364,840482,808511,464329,151728,27211,43853,58294,6033,10695,12934,97483,141336,17307,129058,13412
2021,"Electricity, gas and steam",220368,210591,155920,98853,14348,11679,64448,23794,3582,8485,9690,30931,95378,36561,57947,1726
2021,"Water supply, sewerage, waste",42304,41233,39683,20096,6827,1911,2620,867,229,458,125,1926,4546,627,3919,904
2021,Construction,649181,623084,611306,226082,152583,11030,37875,11450,3757,9157,3278,38552,76427,9873,66532,47366
2021,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1911636,1908778,1827253,1452006,175930,18120,84383,25270,3065,6745,4297,86663,171045,21770,149301,44462
2021,Transportation and storage,425732,366989,398535,89375,81531,32654,27197,11645,3854,14089,9957,36037,63234,7474,53672,10060
2021,Accommodation and food service activities,82358,73282,79564,18120,28682,3407,2795,2402,613,1577,585,6321,9116,1069,7969,11040
2021,Information and communication,305331,282782,284168,79744,91765,25311,21163,24028,3620,8586,4851,58967,80130,9423,71419,17296
2021,Real estate activities,213007,66604,143339,32337,21291,28942,69668,34182,13059,36840,8143,160518,230186,16975,213239,69756
2021,"Professional, scientific and technical activities",263007,247280,248140,49293,105762,12554,14867,11927,3035,5646,11485,30994,45861,5424,40357,41287
2021,Administrative and support service activities,168813,150504,157826,30783,65427,12559,10987,2319,1981,5653,2905,8030,19017,2952,16032,13907
