Years,Industries,Fixed assets ,Intangible fixed assets ,Tangible fixed assets ,Financial fixed assets ,"Investments in subsidiaries, other group companies or associated companies ","Loans to group companies, associated companies and joint ventures ",Current assets ,Inventories ,Debitors ,Accounts receivables ,Investments ,Cash and bank deposits etc ,Total assets ,Equity ,Invested equity ,Share capital ,Share premium reserve ,Retained earnings ,Liabilities ,Provisions ,Other long-term liabilities ,Liabilities to financial institutions ,Long-term liabilities to group companies ,Short-term liabilities ,Trade creditors ,Short-term liabilities to group companies ,Total equity and liabilities ,Number of enterprises
2022,Information and communication,1103757,77489,114728,911540,741297,127405,292202,5512,193859,57691,20043,72788,1395959,820306,640805,47867,507001,179502,575653,23733,269563,38023,115010,282356,40286,122625,1395959,18400
2022,Real estate activities,2936889,14299,1123390,1799201,1253941,363132,715872,54287,318621,26354,178782,164181,3652761,1815979,1078719,133878,806962,737260,1836782,45166,1367902,725334,439574,423714,22541,227867,3652761,72260
2022,"Professional, scientific and technical activities",527313,26687,41742,458884,366332,50888,309227,7269,147196,58988,61450,93313,836540,517290,375922,38134,297196,141368,319251,6264,117864,34821,46019,195123,25401,60028,836540,42932
2022,Administrative and support service activities,368821,8508,127531,232782,172633,43079,140954,2665,97210,31985,10761,30318,509775,218792,195338,16385,138025,23454,290983,15515,139419,50394,54479,136048,19327,54808,509775,14360
2022,Education,8052,826,2906,4320,2877,664,7181,179,2707,1093,942,3353,15233,7439,3537,913,2213,3902,7794,91,2907,1426,721,4796,580,996,15233,4614
2022,Human health and social work activities,88617,4152,20990,63475,37878,20197,47103,801,21584,4497,7614,17104,135720,58420,28417,3188,17270,30003,77300,959,42175,25090,12873,34166,2627,14534,135720,11302
2022,"Arts, entertainment and recreation",38773,1674,15940,21159,13012,3612,23841,757,7817,1786,2185,13082,62614,25497,17987,4051,12346,7510,37117,530,15656,7404,2716,20931,2146,3927,62614,6102
2022,Other service activities,19209,872,4766,13572,7970,2435,11744,973,2624,1168,2880,5266,30953,15475,8763,1835,5919,6712,15478,221,6796,4696,508,8461,926,2164,30953,5630
2022,Unspecified,580268,2135,37089,541044,375895,60252,189774,7809,36287,2161,101497,44181,770042,549192,417684,22194,345301,131508,220850,1744,148372,40202,76109,70734,2220,34833,770042,33403
2023,"Agriculture, forestry and fishing",450460,69030,116839,264591,183193,66763,300066,56725,188058,42833,14368,40914,750526,327058,162280,21191,117090,164778,423468,24674,202341,95965,68388,196453,45703,83567,750526,6150
2023,Mining and quarrying,2581327,213532,1059408,1308387,1074246,178622,1204478,0,683108,160764,0,163280,3785805,1315870,619964,102039,424161,695906,2469935,792753,555399,39362,135860,1121783,86988,447781,3785805,1297
2023,Manufacturing,1295609,41855,198655,1055099,819399,205460,742515,136938,452110,151321,34786,118681,2038124,1015741,616508,97430,396341,399234,1022383,35160,313871,87294,115394,673351,117590,235512,2038124,13558
2023,"Electricity, gas and steam",1117648,45372,321680,750596,555156,139478,321110,2526,215216,43448,13833,89536,1438758,674823,510644,98948,379891,164179,763935,53815,369855,84961,124806,340265,23863,168966,1438758,1845
2023,"Water supply, sewerage, waste",45298,934,19617,24747,18457,5405,19879,1310,12647,5823,675,5248,65177,26737,15944,3231,6183,10793,38439,1556,21012,13938,5194,15872,4478,5319,65177,915
2023,Construction,647728,10673,141975,495080,337908,109496,560010,146866,288258,139093,26651,98234,1207737,469490,274338,36456,189890,195151,738248,14212,326643,168347,106294,397393,82532,103480,1207737,48315
2023,Wholesale and retail trade0 repair of motor vehicles and motorcycles,739190,34341,110513,594336,477896,66805,767733,223650,376647,162956,66596,100840,1506923,752647,367666,55086,253143,384981,754275,17580,179778,67292,82578,556917,176784,137789,1506923,45367
2023,Transportation and storage,1171576,15887,441526,714163,547698,129378,377502,6788,243080,57308,33310,94323,1549078,734098,603179,76509,431350,130919,814980,38729,447175,190510,138910,329077,54076,152771,1549078,10313
2023,Accommodation and food service activities,117245,1701,33155,82389,60051,12503,69342,2701,44295,5299,6383,15963,186587,80996,48604,6964,26637,32392,105591,6946,46399,22752,16362,52246,7811,23566,186587,11770
2023,Information and communication,1429405,85518,137940,1205947,1020034,144873,353321,6789,236085,62855,24145,86301,1782726,1113409,847825,52843,697687,265584,669317,27356,301212,40784,122735,340748,45886,140257,1782726,19665
2023,Real estate activities,3111043,16731,1219289,1875023,1287645,399964,761705,52988,337564,24226,212312,158842,3872748,1910831,1141011,139693,844935,769820,1961917,45163,1466126,796884,483537,450628,22965,260465,3872748,75976
2023,"Professional, scientific and technical activities",585071,32699,44986,507386,390531,63941,329781,8443,163062,65352,74094,84182,914852,548823,403915,39722,316464,144908,366029,6825,143366,35682,70588,215838,29728,79625,914852,45085
2023,Administrative and support service activities,357765,9519,124845,223401,169237,36211,152285,2650,101794,33262,13404,34438,510050,222907,198318,15896,139840,24589,287143,16853,141820,57845,51880,128470,21639,50693,510050,14700
2023,Education,8621,671,3023,4927,3306,798,7436,0,2627,1158,0,3408,16057,7352,3826,916,2610,3526,8705,96,3369,1842,770,5240,584,1116,16057,4892
2023,Human health and social work activities,98387,4076,18959,75353,44839,24301,53554,910,26112,5752,8854,17678,151941,67136,36180,3692,22957,30956,84805,1038,46518,25294,14547,37250,3674,14773,151941,12152
2023,"Arts, entertainment and recreation",40364,1614,17030,21720,11704,4113,25781,798,7922,1967,3415,13646,66145,26659,18263,3524,13199,8396,39486,509,17032,8033,3424,21945,2275,3641,66145,6316
2023,Other service activities,20711,849,4906,14956,9289,2458,11656,1016,3030,1377,3114,4497,32368,17767,10538,1795,6899,7229,14601,222,6571,4575,514,7808,1033,1152,32368,5869
2023,Unspecified,455562,2599,13718,439245,291030,26286,201529,9881,42272,2281,108072,41304,657091,507537,399249,16996,319894,108288,149554,1268,87380,28015,32612,60907,3049,28760,657091,38456
2024,"Agriculture, forestry and fishing",464593,75754,125646,263194,205354,50622,243122,62893,127823,22259,14944,37462,707715,337049,167745,19096,102563,169304,370666,25602,194029,109997,52014,151035,24344,61678,707715,6036
2024,Mining and quarrying,2582609,296243,1084471,1201896,1030933,16108,1088220,47880,702284,189253,185569,152487,3670829,1216263,597879,94500,284574,618384,2454566,846357,552002,39670,84136,1056208,80963,423152,3670829,1173
2024,Manufacturing,1304725,42702,211397,1050626,822650,149787,704041,141941,429096,138972,33287,99717,2008765,1014318,629887,93489,419447,384431,994447,36671,314532,124292,79977,643244,91804,180532,2008765,12877
2024,"Electricity, gas and steam",1162370,46430,332823,783117,611629,117773,235992,2593,165923,24595,6937,60540,1398362,677720,506373,94874,371974,171347,720642,56712,379137,81754,102517,284793,15193,134599,1398362,1764
2024,"Water supply, sewerage, waste",71638,1048,21131,49459,39554,8046,21624,1380,13655,5094,1268,5321,93262,45600,35511,2845,19428,10089,47662,1555,27891,19370,3048,18216,4170,4699,93262,887
2024,Construction,648910,12321,153946,482644,363416,93031,541622,132173,282620,118483,30259,96570,1190533,477919,283315,34885,201919,194604,712614,14969,324183,169014,73293,373462,63426,88628,1190533,45976
2024,Wholesale and retail trade0 repair of motor vehicles and motorcycles,729338,32637,108095,588606,503819,64770,732558,213029,352130,135938,72163,95238,1461896,743448,357889,48753,236235,385559,718448,19073,171517,60348,55320,527858,159302,96866,1461896,42807
2024,Transportation and storage,1215447,18816,457325,739307,583193,121410,372181,6927,232720,57156,36049,96484,1587628,827295,572215,64909,394123,255080,760333,21190,443673,209469,107584,295470,49764,84244,1587628,9888
2024,Accommodation and food service activities,105986,1663,32979,71344,57542,11435,67682,2722,42812,4833,4651,17497,173669,69356,41026,6803,21302,28330,104313,662,51425,20460,8942,52226,7243,10268,173669,11321
2024,Information and communication,1372369,83794,158452,1130124,994138,99740,361360,6191,239236,58362,32574,83359,1733729,1072288,752330,44236,571046,319958,661441,21991,298187,38651,103022,341264,34706,109263,1733729,19606
2024,Real estate activities,3147817,20339,1234661,1892818,1432584,408117,771310,52905,327026,28215,232405,158975,3919128,1951014,1181826,135298,852461,769188,1968114,48239,1433308,764546,370525,486567,19760,208578,3919128,74660
2024,"Professional, scientific and technical activities",617788,36840,41221,539728,452353,72072,339099,8826,163674,54771,72480,94120,956887,581394,401532,33216,269319,179862,375493,4347,144746,28821,62350,226399,23438,72722,956887,44472
2024,Administrative and support service activities,374324,20116,127378,226830,174849,37131,142594,2971,95315,28374,13999,30309,516918,234833,172339,15464,124207,62494,282085,6961,151105,50070,35655,124019,17956,35466,516918,14373
2024,Education,10704,687,5124,4893,3965,706,9808,207,2804,1168,1560,5237,20512,9572,3464,938,2189,6109,10940,104,4285,2664,615,6551,789,971,20512,5100
2024,Human health and social work activities,100935,3766,19128,78041,48341,27246,56870,921,26697,4358,10754,18498,157805,71225,34446,3657,28250,36779,86580,882,45596,23298,15863,40102,2710,16699,157805,12281
2024,"Arts, entertainment and recreation",45054,1470,20455,23130,16704,5374,30005,836,8849,2018,4053,16267,75059,30588,18512,5850,11044,12076,44471,660,18855,8297,3760,24956,2316,3284,75059,6327
2024,Other service activities,26022,796,4968,20258,17341,2384,13563,974,2847,1265,2890,6853,39585,25294,10291,1789,7087,15003,14291,391,7245,5352,411,6655,905,1023,39585,5842
2024,Unspecified,899074,4886,18477,875711,784215,68384,230657,10060,64099,1803,108336,48161,1129730,876084,728007,35263,569653,148076,253647,3012,172726,62616,45981,77908,3206,26856,1129730,43040
