Years,Industries,Fixed assets ,Intangible fixed assets ,Tangible fixed assets ,Financial fixed assets ,"Investments in subsidiaries, other group companies or associated companies ","Loans to group companies, associated companies and joint ventures ",Current assets ,Inventories ,Debitors ,Accounts receivables ,Investments ,Cash and bank deposits etc ,Total assets ,Equity ,Invested equity ,Share capital ,Share premium reserve ,Retained earnings ,Liabilities ,Provisions ,Other long-term liabilities ,Liabilities to financial institutions ,Long-term liabilities to group companies ,Short-term liabilities ,Trade creditors ,Short-term liabilities to group companies ,Total equity and liabilities ,Number of enterprises
2016,Education,6298,293,2821,3184,2022,518,5094,108,2049,825,392,2545,11392,4520,2071,775,1082,2449,6872,89,2895,1305,866,3888,529,778,11392,3473
2016,Human health and social work activities,48316,2290,20385,25640,18647,3690,31514,686,13708,3068,3594,13526,79830,30048,10759,2851,5342,19289,49782,941,28476,14822,9136,20365,1950,5962,79830,8590
2016,"Arts, entertainment and recreation",19761,1331,11041,7389,4734,1684,13197,417,3786,1055,776,8218,32958,10688,9772,2952,6324,916,22270,376,9188,4767,2089,12706,1309,1601,32958,4180
2016,Other service activities,11638,434,3926,7277,4907,485,7834,721,2179,906,2196,2738,19472,10271,7113,1849,4286,3158,9201,177,3966,2379,1017,5058,766,904,19472,4205
2016,Unspecified,27782,421,903,26457,16480,4612,11692,665,3815,176,2868,4345,39474,26229,18505,2787,15082,7723,13245,47,8003,2038,3800,5195,200,1401,39474,3945
2017,"Agriculture, forestry and fishing",163147,33110,51942,78095,61647,10513,101031,27392,41734,14523,7264,24641,264178,123741,53426,12360,34346,70315,140437,10333,74245,47455,10123,55859,9142,21382,264178,4349
2017,Mining and quarrying,2072204,91103,791087,1190014,937704,248691,484967,36383,307008,91086,60152,81424,2557171,990005,549053,110654,379048,440952,1567166,421920,622437,45755,330355,522809,54600,214898,2557171,1222
2017,Manufacturing,947320,25741,138451,783127,617501,141526,489188,82527,316842,115654,8957,80861,1436507,715826,427797,102393,252342,288029,720682,29581,236597,55537,111490,454504,76694,207664,1436507,12436
2017,"Electricity, gas and steam",648057,27451,225748,394858,298738,56955,145532,1367,95877,21334,11388,36899,793589,369823,270988,93211,163172,98835,423765,23044,252081,78714,78530,148640,10952,60855,793589,1461
2017,"Water supply, sewerage, waste",29113,978,14328,13807,10233,2825,11510,810,7039,3992,194,3468,40623,14582,8563,3046,4205,6018,26042,1185,16048,10972,4172,8809,2474,2056,40623,779
2017,Construction,347859,6579,122185,219095,153117,39760,365341,98500,179247,108178,16641,70953,713200,263856,140602,35858,82574,123254,449345,10369,190753,110296,48264,248223,54832,46347,713200,40627
2017,Wholesale and retail trade0 repair of motor vehicles and motorcycles,470231,23688,72501,374042,312900,40790,500170,145387,239375,116257,38299,77110,970401,469324,226052,56994,135711,243272,501077,11717,119880,38568,59734,369480,124789,77719,970401,42076
2017,Transportation and storage,852737,62399,375912,414426,307637,66666,230563,5626,118609,43661,36632,69696,1083300,448172,310467,89139,185336,137705,635129,27746,415529,230560,84429,191854,30636,57550,1083300,9568
2017,Accommodation and food service activities,63653,2057,18307,43290,32813,7982,29095,1584,17460,3603,1321,8730,92748,33706,23750,9172,8540,9956,59042,1897,30114,13282,7608,27031,4897,8381,92748,9151
2017,Information and communication,637454,49342,62929,525183,430049,75156,201822,5395,145837,39696,8290,42299,839276,411768,283284,36981,159538,128484,427508,10054,161149,25953,77379,256304,22934,91932,839276,13960
2017,Real estate activities,2043914,11951,854781,1177182,850714,199814,464284,27421,184806,17650,123118,128939,2508198,1281742,744045,137298,495984,537697,1226456,34398,899453,520478,225051,292605,14752,138582,2508198,66432
2017,"Professional, scientific and technical activities",284161,14163,35736,234262,177530,32549,176551,7885,86724,43797,26419,55523,460712,250595,197553,38870,128181,53042,210118,2981,89818,29927,33547,117318,19660,30415,460712,34970
2017,Administrative and support service activities,249869,6015,77911,165943,118965,28111,92231,1799,61222,22192,6077,23133,342100,141982,110116,19704,74658,31866,200118,4849,117807,46284,40146,77463,11487,25106,342100,12282
2017,Education,8171,296,3272,4602,3498,556,5504,134,2136,905,495,2739,13675,5737,3000,827,1943,2737,7938,92,3787,2151,963,4059,666,802,13675,3768
2017,Human health and social work activities,61184,2796,21988,36400,27133,5851,33840,630,15416,3242,4690,13104,95023,39138,16324,3238,8656,22814,55885,1281,32249,14986,7879,22355,2102,7609,95023,9064
2017,"Arts, entertainment and recreation",22762,1372,12993,8397,5374,1683,15272,458,4444,1193,1024,9347,38034,13704,11946,4103,7220,1758,24330,462,9471,5273,1834,14397,1371,2351,38034,4536
2017,Other service activities,14383,400,3992,9991,5940,2114,9049,751,2297,994,2998,3003,23432,12385,8003,1917,5118,4381,11048,191,5045,3949,585,5811,794,998,23432,4516
2017,Unspecified,20412,223,1519,18669,10888,3438,13495,728,4175,207,2706,5886,33907,21897,12294,2135,9422,9603,12010,83,6548,1772,3064,5378,137,1851,33907,4408
2018,"Agriculture, forestry and fishing",193417,39070,60992,93354,74168,12191,111623,30439,46495,16649,6917,27771,305040,147987,67190,14093,45835,80798,157053,10701,83883,51873,12294,62469,9896,21074,305040,4765
2018,Mining and quarrying,2147987,86527,818052,1243408,948299,251148,509947,31816,321407,86468,59222,97501,2657934,1063847,539237,109734,367426,524609,1594088,458044,552925,33604,271146,583118,53631,239731,2657934,1282
2018,Manufacturing,957149,27582,150575,778991,614456,138183,472472,92489,284759,117258,13776,81447,1429620,737180,439920,109023,257442,297260,692441,29567,242502,59407,117473,420371,81020,153636,1429620,13079
2018,"Electricity, gas and steam",706332,27465,239119,439749,333163,64800,159423,1930,95895,26726,16534,45063,865755,420088,305120,92850,196036,114968,445667,24125,256498,77045,87809,165045,15057,39092,865755,1526
2018,"Water supply, sewerage, waste",26785,809,12788,13188,10180,2280,12140,898,7533,3965,374,3336,38924,15326,9487,2553,4354,5839,23598,961,11852,7621,2485,10786,2629,2507,38924,815
2018,Construction,397983,7532,139904,250547,166435,51286,398463,105888,201044,117150,17454,74077,796446,289165,155751,37387,93606,133413,507281,10777,226833,134871,56500,269671,58925,55247,796446,43599
2018,Wholesale and retail trade0 repair of motor vehicles and motorcycles,497125,26833,84833,385459,316638,46666,528232,152513,256323,118133,40957,78438,1025356,478546,227420,51789,140366,251126,546810,11112,139025,47469,51683,396673,129612,97389,1025356,43502
2018,Transportation and storage,863311,12603,377334,473374,365422,72067,236434,5825,139295,46979,31365,59948,1099744,467072,356500,93943,207196,110572,632673,35463,369356,197065,87571,227854,32780,78222,1099744,9796
2018,Accommodation and food service activities,73516,2076,24535,46905,35566,8348,38753,1725,20159,3903,6791,10078,112268,47106,30218,10753,14175,16888,65163,1910,34557,15644,10040,28696,5302,8579,112268,9785
2018,Information and communication,647540,50173,68305,529062,475230,32275,212913,4853,137025,39756,8042,62992,860453,491593,346468,37679,239489,145125,368860,11022,130613,18382,58086,227225,20611,78320,860453,14786
2018,Real estate activities,2162787,11996,876567,1274224,927956,212723,472181,30677,195033,17274,121940,124531,2634968,1355628,828873,133088,579085,526755,1279340,34925,941055,521950,266291,303360,14172,137590,2634968,57911
2018,"Professional, scientific and technical activities",309251,15075,38925,255251,185710,40758,192804,8225,105095,49998,25252,54231,502055,270762,218517,43302,139654,52245,231293,2771,97677,34944,37374,130846,22819,32374,502055,36853
2018,Administrative and support service activities,275856,5612,80186,190058,147084,30845,103020,1857,67411,24616,6258,27494,378876,165305,128183,19438,89056,37122,213572,4629,115720,43829,35931,93222,11119,39079,378876,12830
2018,Education,8072,317,3427,4328,3129,527,6315,158,2656,987,459,3042,14387,6341,3735,837,2655,2606,8046,90,3443,1871,939,4514,594,875,14387,4015
2018,Human health and social work activities,66990,3328,24550,39112,27052,7833,36085,651,16181,3297,4775,14478,103075,43217,18884,3332,9204,24334,59857,1336,33029,16512,6734,25492,2078,9551,103075,9555
2018,"Arts, entertainment and recreation",26411,1374,14354,10683,7497,1786,16716,545,5131,1286,1297,9743,43127,17210,14633,4907,8765,2577,25916,508,10836,6158,2286,14573,1471,2388,43127,4962
2018,Other service activities,16494,420,5028,11046,6040,1959,8799,766,2458,887,2433,3141,25293,12828,8009,2008,4976,4819,12465,177,5581,4238,708,6707,852,1600,25293,4783
2018,Unspecified,189245,490,5217,183537,144457,21824,57075,3467,25922,504,12861,14826,246320,172550,129207,7549,111073,43343,73770,319,52603,22584,16900,20848,655,9473,246320,9009
2019,"Agriculture, forestry and fishing",212214,43306,70408,98499,78364,14283,112647,33251,43463,12827,8305,27627,324860,160681,72494,15742,50614,88187,164179,11562,96973,58270,15165,55643,10357,21116,324860,4935
2019,Mining and quarrying,2311801,97961,941033,1272807,975100,236733,517093,40199,347365,88895,0,0,2828894,1126418,562384,107538,398090,564034,1702476,509870,602021,88652,245726,590585,64799,258461,2828894,1300
2019,Manufacturing,1009041,27533,163251,818257,639569,154726,467675,93660,281538,122387,17753,74724,1476716,777223,473681,108648,278742,303541,699493,30838,265227,65661,119317,403428,81551,153462,1476716,12937
2019,"Electricity, gas and steam",807731,27715,266205,513810,376548,85262,143315,1348,91356,23673,10044,40566,951046,500413,347223,93217,235420,153190,450633,28052,270429,78638,108350,152152,16210,39762,951046,1596
2019,"Water supply, sewerage, waste",26250,712,13511,12027,8608,2545,12911,886,7940,3947,437,3649,39160,15703,8849,2175,3981,6854,23458,1022,11697,8431,2151,10739,2842,2780,39160,840
2019,Construction,443914,8367,156575,278972,182869,58954,434089,115234,216124,119415,19140,83591,878002,324788,164949,38222,97627,159840,553214,12608,249277,145168,64516,291328,59374,65820,878002,44796
2019,Wholesale and retail trade0 repair of motor vehicles and motorcycles,505737,26745,90622,388370,317054,49318,539822,160697,255810,115743,42902,80414,1045560,492938,215068,49202,132968,277870,552622,12098,143429,47639,56631,397095,129511,97463,1045560,42655
2019,Transportation and storage,813901,12661,402032,399208,301731,62362,238863,5985,137102,47538,30790,64986,1052764,435068,350527,93318,207375,84541,617696,30184,359696,195100,80497,227816,35267,74109,1052764,9698
2019,Accommodation and food service activities,71564,1936,26640,42988,30558,9423,42572,1833,22354,3932,7810,10575,114136,43142,25227,6203,12096,17915,70994,1703,38577,19512,9586,30714,5204,9986,114136,9845
2019,Information and communication,733205,56319,83469,593416,504666,69863,203244,4460,137073,43383,10999,50712,936449,521041,363076,36294,276056,157965,415408,19381,194818,25857,78129,201209,23838,77097,936449,15216
2019,Real estate activities,2312489,11633,931368,1369489,985378,232714,509472,32682,208178,17924,140420,128193,2821961,1466596,887827,131580,646565,578768,1355365,36317,1010274,561054,293786,308775,15124,159632,2821961,59253
2019,"Professional, scientific and technical activities",335619,22291,40336,272992,203172,38943,208393,5051,116059,53300,26932,60350,544012,290098,223088,41121,142545,67010,253914,8158,100599,39276,31290,145156,21417,42276,544012,37709
2019,Administrative and support service activities,335967,6846,93362,235760,183335,37555,108447,2189,66605,24376,7207,32446,444414,211460,164998,19231,125200,46462,232954,13450,124813,50565,43065,94691,12565,35069,444414,13033
2019,Education,8944,322,3900,4722,3447,632,6801,171,2572,1055,590,3468,15745,7246,3929,840,2826,3318,8499,90,3867,2122,963,4541,652,889,15745,4105
2019,Human health and social work activities,69362,3901,24993,40469,28175,8274,36449,636,15760,3361,5559,14493,105811,47165,23475,3303,9659,23690,58646,1169,32448,16618,5229,25029,2058,9724,105811,9892
2019,"Arts, entertainment and recreation",29347,1395,16448,11504,8242,1803,17597,607,5423,1305,1361,10207,46944,19167,14335,4837,8323,4833,27777,532,12219,6327,1853,15025,1497,2613,46944,5217
2019,Other service activities,16168,1048,5744,9376,6568,1921,10621,785,2539,907,2921,4376,26789,12868,9134,1766,6237,3734,13921,179,6141,3835,726,7601,703,2414,26789,4901
2019,Unspecified,366053,733,10329,354990,289898,33236,95308,5797,24520,735,0,0,461361,334423,263429,12660,234438,70994,126938,1194,94739,38638,34699,31005,972,12470,461361,15494
2020,"Agriculture, forestry and fishing",260117,53470,82697,123950,100866,15636,123032,37298,46651,11745,10024,29059,383149,198054,92686,16876,68114,105368,185095,13171,109705,68012,15535,62219,11467,21730,383149,5271
2020,Mining and quarrying,2293841,90698,971241,1231901,932699,0,528054,39841,307600,76019,0,0,2821895,1078051,595859,111139,399996,482192,1743844,591344,668138,78870,238632,484362,44519,252902,2821895,1328
2020,Manufacturing,1005317,31504,159924,813889,645840,143938,519082,93248,306036,132392,22526,97272,1524400,783948,492989,108244,292544,290959,740452,32380,274097,68797,116849,433975,82275,169289,1524400,13171
2020,"Electricity, gas and steam",888789,28889,283680,576220,418946,91949,132398,1114,79836,19251,7592,43856,1021187,539810,387633,95632,272872,152177,481377,35717,310328,87523,127054,135333,11728,32265,1021187,1717
2020,"Water supply, sewerage, waste",30274,740,15288,14246,9993,3312,14750,902,8767,4159,429,4652,45024,17521,9914,2618,4490,7607,27503,1109,14165,10282,2595,12230,2934,3198,45024,886
2020,Construction,448119,8602,128651,310866,209853,65178,443387,116218,212198,114799,20863,94108,891507,346496,179421,36327,114474,167074,545011,12629,239741,129387,70589,292641,57642,73487,891507,45147
2020,Wholesale and retail trade0 repair of motor vehicles and motorcycles,565494,28549,94985,441960,371241,47069,611020,159509,294837,114708,48039,108635,1176513,586855,262873,50169,177209,323982,589658,12775,146554,49270,69011,430330,136894,106985,1176513,43627
2020,Transportation and storage,839080,15260,386369,437450,315013,81801,218413,4618,109248,37868,34238,70309,1057493,447578,398875,82516,252291,48703,609915,33329,382378,198782,96173,194208,45243,53896,1057493,9869
2020,Accommodation and food service activities,72588,1916,27000,43672,30275,10042,41598,1759,19947,2735,9023,10869,114186,48459,29051,5964,13120,19408,65727,1207,34017,17596,10799,30502,5149,12916,114186,10407
2020,Information and communication,766135,64193,91200,610743,512997,77112,267109,3697,171596,45473,14123,77692,1033244,528973,386531,32370,269206,142442,504271,18574,235791,33229,83752,249906,27839,110130,1033244,16328
2020,Real estate activities,2496614,12831,1010092,1473691,1023708,282215,598216,40694,251420,21505,162529,143572,3094830,1556343,913523,133957,658602,642820,1538487,38489,1151589,620384,352183,348409,15610,181771,3094830,66427
2020,"Professional, scientific and technical activities",352334,22151,38636,291546,221457,37807,244831,5694,125741,47382,32215,81182,597165,327988,265067,34471,181065,62921,269177,7684,99045,38803,31198,162447,21905,52920,597165,39641
2020,Administrative and support service activities,305494,6978,97201,201314,154579,33645,112720,2237,73896,23570,7196,29392,418214,186776,141755,19667,97260,45021,231438,14017,118282,48029,42434,99138,12447,39270,418214,13539
2020,Education,8988,479,3596,4912,3297,0,7442,134,2872,956,0,0,16430,7630,3907,836,2757,3723,8800,76,3698,2285,833,5026,694,1276,16430,4245
2020,Human health and social work activities,75675,4708,22766,48201,30433,11941,40400,699,17203,3296,6157,16342,116075,51404,24125,3206,14625,27279,64672,1105,34320,20509,8630,29246,2270,10354,116075,10282
2020,"Arts, entertainment and recreation",30052,1391,17299,11362,7413,2235,19539,556,5779,1243,1699,11505,49591,19437,15224,4951,8468,4213,30154,547,13362,6941,1837,16245,1603,2827,49591,5442
2020,Other service activities,15755,507,5927,9321,6143,2314,12817,837,2315,890,5079,4586,28572,14088,8263,1624,5326,5825,14485,178,6912,4374,825,7395,758,2013,28572,5203
2020,Unspecified,471069,1606,20343,449121,356361,40241,98212,6676,31150,2108,33443,26943,569281,399407,318928,26454,265577,80480,169873,905,121848,51320,43191,47120,1229,19776,569281,20609
2021,"Agriculture, forestry and fishing",296720,59744,93255,143721,115852,17603,142332,38990,51391,14765,14028,37924,439052,229871,100777,18148,73360,129094,209181,14211,124927,76788,21013,70043,12573,25890,439052,5604
